Timestamp,Discord username,Seeking,Organization,Intern Type,Start date,End date,Newsletter,Status,Portal
,yf9,Full Time,AWS Supply Chain,First Time Intern,6/26/2023,9/15/2023,No,Waiting ,
,Idontwanttoshare,Intern,CDO,First Time Intern,june,september,Yes,Waiting ,
,2cup,Full Time,AWS RDS,First Time Intern,5/22/2023,8/11/2023,Yes,Waiting ,
,journeysofz,Full Time,AWS BE MORE PRECISE AWS PPL,First Time Intern,5/22/2023,8/11/2023,Yes,Waiting ,
,danimals,Full Time,AWS BE MORE PRECISE AWS PPL,Return Intern,6/5/2023,8/25/2023,Yes,Waiting ,
,linhh,Full Time,Lab 126,First Time Intern,6/26/2023,9/15/2023,Yes,Waiting ,
,crimsongnome,Full Time,AWS Lambda,First Time Intern,6/12/2023,9/1/2023,No,Waiting ,
,ohkk,Full Time,AWS Infra,First Time Intern,5/15,4/8/2023,Yes,Waiting ,
,happylemon_22122,Full Time,Books - Kindle,First Time Intern,5/8/2023,8/25/2023,Yes,Waiting ,
,.,Intern,GTMC,First Time Intern,5/15/2023,9/1/2023,No,Waiting ,ASP
,cjwagn1,Full Time,AWS EC2,Return Intern,5/29/2023,8/18/2023,Yes,Waiting ,
,<???>,Full Time,PXT Amazon Assessment,First Time Intern,5/8/2023,7/28/2023,Yes,Waiting ,ASP
,bant3r,Intern,AWS Commerce Platform,First Time Intern,6/5/2023,8/25/2023,Yes,Waiting ,
,spawn,Full Time,Devices,First Time Intern,5/30/2023,8/18/2023,Yes,Waiting ,
,<???>,Full Time,AWS Identity,First Time Intern,5/22/2023,8/25/2023,Yes,Waiting ,
,BDRJ,Full Time,AMS EC2,First Time Intern,1/23/2023,4/28/2023,Yes,Waiting ,
,Deleted User,Full Time,AWS S3G,First Time Intern,5/22/2023,8/11/2023,Yes,Waiting ,
,kv282,Full Time,AWS Networking,First Time Intern,6/19/2023,9/8/2023,No,Waiting ,
,jc-hiroto,Full Time,AWS DB,First Time Intern,5/22/2023,8/11/2023,Yes,Waiting ,
,casual.breeze,Full Time,Consumer Payments,First Time Intern,6/26/2023,9/15/2023,No,Waiting ,ASP
,deku_todoroki,Full Time,AWS CloudWatch Logs,First Time Intern,5/8/2023,8/25/2023,Yes,Waiting ,ASP
,<>,Full Time,Amazon Business,First Time Intern,5/22/2023,8/11/2023,Yes,Waiting ,
,thicco,Full Time,Shopbop,First Time Intern,5/15/2023,8/11/2023,Yes,Waiting ,
,tam,Intern,Devices - Alexa,First Time Intern,6/5/2023,8/18/2023,Yes,Waiting ,
,jaaye,Full Time,AWS DDB,First Time Intern,1/9/2023,4/28/2023,Yes,Waiting ,
,polar20,Intern,AWS Lambda,First Time Intern,6/19/23,9/8/2023,No,Waiting ,ASP
,fatd,Full Time,,First Time Intern,5/15/2023,8/4/2023,Yes,Offer,
,yogurt2714,Full Time,AWS,First Time Intern,1/23/2023,4/28/2023,Yes,Waiting ,
,kilij,Full Time,Social Marketing,Return Intern,6/20/2022,12/23/2022,No,Waiting ,
,luke,Full Time,Grocery Shopping Experience,Return Intern,5/22/2023,8/11/2023,Yes,Waiting ,ASP
,kizune4427,Full Time,PV (which org does it belongs to?,First Time Intern,5/22/2023,8/11/2023,Yes,Waiting ,
,brensophab,Full Time,AWS Support Engineering,Return Intern,5/15/2023,8/4/2023,No,Waiting ,ASP
,Qoignis,Full Time,Consumer Payments,Return Intern,6/5/2023,8/25/2023,Yes,Waiting ,ASP
,ace,Full Time,eCFT - Datapath,First Time Intern,5/15/2023,8/18/2023,Yes,Waiting ,ASP
,nnhoj,Intern,Devices,Return Intern,6/5/2023,8/25/2023,Yes,Waiting ,
,trentccc,Full Time,AWS Snowball,First Time Intern,5/15/2023,8/4/2023,No,Waiting ,ECT
,nameless chessfoot,Full Time,Amazon Dash Cart,First Time Intern,9/12/2022,12/2/2022,No,Waiting ,ASP
,xiaobog,Full Time,PXT CS,Return Intern,6/12/2023,9/8/2023,Yes,Waiting ,
,jahmoment,Full Time,Amazon Payments,First Time Intern,5/22/2023,8/11/2023,No,Waiting ,ASP
,dr.aight,Full Time,AWS BE MORE PRECISE AWS PPL,First Time Intern,5/22/2023,8/11/2023,No,Waiting ,
,Han,Full Time,AWS - Annapurna Labs,First Time Intern,5/22/2023,8/11/2023,Yes,Waiting ,ECT
,lxw,Full Time,AWS stfu anonymous iguana,First Time Intern,5/8/2023,7/28/2023,Yes,Waiting ,ECT
,,Full Time,AWS S3,First Time Intern,5/15/2023,8/4/2023,Yes,Waiting ,
,shal_be,Full Time,Amazon Health Services / Pharmacy,First Time Intern,5/22/2023,8/11/2023,Yes,Waiting ,ASP
,root,Full Time,AWS IoT,Return Intern,5/15/2023,8/4/2023,Yes,Waiting ,ASP
,36170565,Full Time,AWS CloudTrail,First Time Intern,5/15/2023,8/4/2023,Yes,Waiting ,ASP
,EggYollllk,Full Time,SPS,First Time Intern,6/26/2023,9/15/2023,No,Waiting ,ASP
,skranbets,Full Time,Ads & Media,Return Intern,5/6/2023,25/08/2023,Yes,Waiting ,ASP
,CitrusExtract,Full Time,Amazon Music,First Time Intern,5/30/2023,8/18/2023,No,Waiting ,ASP
,1111,Full Time,robotics,First Time Intern,7/11/2022,12/18/2022,No,Waiting ,ECT
,cq,Full Time,security,Return Intern,6/5/2023,8/25/2023,Yes,Waiting ,ASP
,vlasp,Full Time,Security,Return Intern,6/5/2023,8/25/2023,Yes,Waiting ,ASP
,<???>,Full Time,AWS Support,First Time Intern,5/1/2023,7/21/2023,Yes,Waiting ,ASP
,ChiYu,Full Time,AWS Annapurna ML,First Time Intern,5/22/2023,8/11/2023,Yes,Waiting ,ECT
,lw,Full Time,AWS Governance,First Time Intern,6/5/2023,8/25/2023,Yes,Waiting ,
,good_for_nothing,Intern,AWS Amplify,Return Intern,5/22/2023,8/11/2023,Yes,Waiting ,ASP
,James,Full Time,AWS CloudFront,First Time Intern,6/19/2023,9/22/2023,Yes,Waiting ,ASP
,pigff,Full Time,AWS SageMaker,First Time Intern,8/29/2022,12/16/2022,Yes,Waiting ,ASP
,meghb,Full Time,Amazon Fashion,First Time Intern,5/8/2023,8/25/2023,Yes,Waiting ,ASP
,rajini,Full Time,Ordering,Return Intern,5/15/2023,8/25/2023,Yes,Waiting ,ASP
,Aq,Full Time,AWS Payments,First Time Intern,5/8/2023,8/25/2023,Yes,Waiting ,ASP
